"run","Model","ic_series","dummies","ecdet","lag_rule","K","cv_valid","test","hypothesis","statistic","cv_10pct","cv_5pct","cv_1pct","reject_5pct"
"A_common_censusIC","Truckload","Total_Inventories","orig","trend","AIC",6,FALSE,"trace","r = 0",31.4710144721168,22.76,25.32,30.45,TRUE
"A_common_censusIC","Truckload","Total_Inventories","orig","trend","AIC",6,FALSE,"trace","r <= 1",11.7480460429704,10.49,12.25,16.26,FALSE
"A_common_censusIC","Truckload","Total_Inventories","orig","trend","AIC",6,FALSE,"eigen","r = 0",19.7229684291464,16.85,18.96,23.65,TRUE
"A_common_censusIC","Truckload","Total_Inventories","orig","trend","AIC",6,FALSE,"eigen","r <= 1",11.7480460429704,10.49,12.25,16.26,FALSE
"A_common_censusIC","Truckload","Total_Inventories","orig","trend","SBC",2,FALSE,"trace","r = 0",38.0271533142586,22.76,25.32,30.45,TRUE
"A_common_censusIC","Truckload","Total_Inventories","orig","trend","SBC",2,FALSE,"trace","r <= 1",10.2054344172542,10.49,12.25,16.26,FALSE
"A_common_censusIC","Truckload","Total_Inventories","orig","trend","SBC",2,FALSE,"eigen","r = 0",27.8217188970045,16.85,18.96,23.65,TRUE
"A_common_censusIC","Truckload","Total_Inventories","orig","trend","SBC",2,FALSE,"eigen","r <= 1",10.2054344172542,10.49,12.25,16.26,FALSE
"A_common_censusIC","Truckload","Total_Inventories","za_step","none","AIC",9,FALSE,"trace","r = 0",18.2727102279458,15.66,17.95,23.52,TRUE
"A_common_censusIC","Truckload","Total_Inventories","za_step","none","AIC",9,FALSE,"trace","r <= 1",5.6431519133973,6.5,8.18,11.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","za_step","none","AIC",9,FALSE,"eigen","r = 0",12.6295583145485,12.91,14.9,19.19,FALSE
"A_common_censusIC","Truckload","Total_Inventories","za_step","none","AIC",9,FALSE,"eigen","r <= 1",5.6431519133973,6.5,8.18,11.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","za_step","none","SBC",2,FALSE,"trace","r = 0",20.0861407749833,15.66,17.95,23.52,TRUE
"A_common_censusIC","Truckload","Total_Inventories","za_step","none","SBC",2,FALSE,"trace","r <= 1",3.86311366077141,6.5,8.18,11.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","za_step","none","SBC",2,FALSE,"eigen","r = 0",16.2230271142119,12.91,14.9,19.19,TRUE
"A_common_censusIC","Truckload","Total_Inventories","za_step","none","SBC",2,FALSE,"eigen","r <= 1",3.86311366077141,6.5,8.18,11.65,FALSE
"A_common_censusIC","Truckload","Total_Inventories","za_step","const","AIC",9,FALSE,"trace","r = 0",29.1155774574815,17.85,19.96,24.6,TRUE
"A_common_censusIC","Truckload","Total_Inventories","za_step","const","AIC",9,FALSE,"trace","r <= 1",10.7770722114222,7.52,9.24,12.97,TRUE
"A_common_censusIC","Truckload","Total_Inventories","za_step","const","AIC",9,FALSE,"eigen","r = 0",18.3385052460593,13.75,15.67,20.2,TRUE
"A_common_censusIC","Truckload","Total_Inventories","za_step","const","AIC",9,FALSE,"eigen","r <= 1",10.7770722114222,7.52,9.24,12.97,TRUE
"A_common_censusIC","Truckload","Total_Inventories","za_step","const","SBC",2,FALSE,"trace","r = 0",39.4159927755189,17.85,19.96,24.6,TRUE
"A_common_censusIC","Truckload","Total_Inventories","za_step","const","SBC",2,FALSE,"trace","r <= 1",5.9112466588618,7.52,9.24,12.97,FALSE
"A_common_censusIC","Truckload","Total_Inventories","za_step","const","SBC",2,FALSE,"eigen","r = 0",33.5047461166571,13.75,15.67,20.2,TRUE
